time,air_temperature,burning_index_g,dead_fuel_moisture_1000hr,dead_fuel_moisture_100hr,mean_vapor_pressure_deficit,potential_evapotranspiration,precipitation_amount,relative_humidity,specific_humidity,surface_downwelling_shortwave_flux_in_air,wind_from_direction,wind_speed
2018-07-15,303.7056,31.06015,17.23824,11.896133,1.3090763,35.142345,3.6035714,79.64866,0.013368282,295.2973,143.95381,3.3572505
2018-07-22,300.3793,34.270676,16.962515,14.332869,0.9540279,30.602552,21.307144,84.385605,0.012044651,257.03772,196.98604,4.331042
2018-07-29,300.35468,31.323309,16.79098,13.582169,1.0036628,30.034693,0.5035715,85.539314,0.011099021,302.81592,249.0129,2.9100966
2018-08-05,303.0654,38.323307,15.486465,12.235232,1.3690012,35.76888,2.457653,80.87014,0.012066444,276.67682,192.09346,3.8422127
2018-08-12,302.21375,27.601503,16.04576,14.938455,0.97276044,27.065306,18.862755,92.006546,0.013589805,256.89032,221.45863,2.8731472
2018-08-19,302.1319,27.639097,16.084854,14.611064,1.0120194,26.684181,11.893876,88.85264,0.0135242,261.31964,146.1031,2.4740064
2018-08-26,300.20343,32.11278,17.466919,15.895381,0.9255746,27.992348,25.07092,87.58281,0.011969742,218.18388,186.34158,4.672288
2018-09-02,297.55927,39.293232,18.50365,17.839634,0.8553383,28.468367,47.968372,95.24651,0.01434885,223.89613,177.52846,5.0859294
2018-09-09,291.47482,30.368422,20.980558,18.950483,0.7521482,22.25357,34.2,90.11858,0.012711729,163.63138,139.95705,5.0446835
2018-09-16,287.94556,24.932331,19.55564,14.593126,0.93573576,22.6648,0.0,92.82718,0.010496712,226.00311,113.83673,2.5948446
2018-09-23,288.41547,37.962406,18.388184,15.648118,0.79124594,22.541838,3.5244896,94.10666,0.0112966485,203.02579,174.47583,4.060687
2018-09-30,282.60022,29.022556,18.311495,16.17798,0.5724705,17.874489,10.011735,88.51847,0.007815253,165.67725,207.59293,4.088615
2018-10-07,287.32416,22.1203,20.320944,21.006447,0.4290011,16.17653,61.85765,96.99753,0.010564469,158.16423,158.32759,4.927497
2018-10-14,281.09387,28.398497,22.183887,19.101503,0.53385603,16.322449,18.558674,90.40462,0.0077457787,142.05446,198.79808,5.2319016
2018-10-21,274.52106,36.51128,20.615036,15.31987,0.46535978,17.14592,1.0780613,83.55178,0.0036674007,141.56618,265.16653,6.104619
2018-10-28,277.0609,31.56391,18.804081,14.798817,0.41181523,12.086224,2.6198983,86.25564,0.004486853,114.827934,195.93124,3.9385605
2018-11-04,278.11707,28.962406,19.21289,17.77143,0.39224488,11.791837,22.103573,88.4637,0.005081192,94.93384,180.96886,4.456713
2018-11-11,272.46414,31.804512,20.088507,17.562298,0.2510311,9.350511,8.572449,79.01267,0.0033189475,76.463264,227.68098,5.8251343
2018-11-18,269.35663,31.18045,18.536736,14.947691,0.20251341,6.608163,4.3173475,80.49968,0.002567497,71.21268,245.75835,3.6140711
2018-11-25,272.9115,32.165413,18.060041,16.231152,0.2259506,8.465306,25.207655,82.520096,0.003402223,76.429214,171.58109,5.6830287
2018-12-02,270.7942,28.729322,19.47551,19.057789,0.18197638,6.4484687,19.570408,84.86359,0.0030214714,58.03685,183.27925,5.2242746
2018-12-09,267.0258,29.421053,19.43083,16.512999,0.16118151,5.3183675,1.0219388,78.84447,0.0021531577,66.33727,273.00858,4.2357683
2018-12-16,269.97333,29.360903,18.917402,17.869493,0.22062296,6.7244897,7.6709194,89.81912,0.0030638776,85.53835,176.62085,3.862514
2018-12-23,271.71677,30.390978,18.777014,16.84189,0.22910845,7.1428585,1.7775508,83.17369,0.0031442856,68.66123,231.68098,4.2781954
2018-12-30,270.38852,26.804512,18.569603,17.350483,0.23504831,7.678571,12.472959,86.576904,0.0030772716,62.55553,173.54243,5.0969925
2019-01-06,277.01913,30.61654,19.44522,16.611599,0.26953813,5.380612,13.72449,77.41977,0.0028754564,71.76316,209.10098,4.369388
2019-01-13,275.06958,38.736843,18.683134,16.040924,0.17466164,4.4530616,10.379082,79.32782,0.002719366,58.35618,185.00859,5.8870034
2019-01-20,272.01846,29.842106,18.447475,16.874758,0.12411383,2.942857,9.494388,79.009674,0.002350204,73.83073,222.84317,4.845435
2019-01-27,268.2752,26.526316,19.677443,20.278841,0.0825349,2.4943876,15.833165,93.80172,0.00155493,73.68335,211.83563,4.8916216
2019-02-03,268.13962,28.31579,20.914822,20.571539,0.1667884,3.887245,3.1617343,86.45908,0.0016534372,92.57369,199.60043,5.7668095
2019-02-10,274.71353,34.150375,21.114931,18.518154,0.16096671,4.167347,17.37755,78.13244,0.0026136842,92.07465,177.79271,4.644684
2019-02-17,274.26605,28.781956,21.9261,20.1855,0.11586466,3.8040814,15.645409,89.76809,0.002576026,92.61804,183.30183,5.8421054
2019-02-24,276.48145,37.443607,21.459936,18.666166,0.17167561,4.677551,12.353572,88.92718,0.0027327926,87.09495,200.00539,5.560687
2019-03-03,271.4931,33.593987,19.280666,13.234802,0.18972072,5.3076534,0.05612245,71.69699,0.0015872181,107.957695,224.48875,4.587003
2019-03-10,273.01416,42.195488,17.36735,12.366381,0.23187967,6.847959,9.782144,65.74318,0.0017812245,141.03459,202.81741,6.016434
2019-03-17,282.88614,32.338345,18.090225,16.19828,0.3496348,9.671939,17.599998,82.336205,0.0036554134,143.86896,201.91945,5.924275
2019-03-24,282.39966,30.43609,17.519335,14.228787,0.34756175,9.369388,5.9418373,83.73652,0.0034162838,172.57402,228.10312,3.5847478
2019-03-31,283.68195,37.398495,17.091621,14.459721,0.45619762,12.375,13.113776,77.50988,0.0033014498,190.17949,202.91083,5.343609
2019-04-07,286.98743,40.06015,16.521055,13.455424,0.51160043,13.311735,8.62398,78.24351,0.00457696,178.97583,134.26639,4.372932
2019-04-14,285.7302,43.646618,16.934156,15.972932,0.4586359,13.351022,28.119387,85.002365,0.00445,205.04352,205.32117,6.811064
2019-04-21,291.22644,40.390976,17.811924,15.607196,0.6935768,17.87755,9.7204075,81.86187,0.005454232,234.7218,200.51772,5.3461866
2019-04-28,289.4439,41.398495,17.214392,14.437379,0.59975296,16.629593,29.864796,83.953705,0.005358066,228.43535,169.03113,4.9313645
2019-05-05,282.21042,21.31579,21.036842,21.157682,0.33588615,12.818368,59.390305,76.88883,0.00618188,182.14964,161.44789,4.07594
2019-05-12,279.1986,23.533834,22.059074,18.125671,0.43244892,18.633675,32.62602,52.34124,0.006058883,183.99818,168.63264,5.402041
2019-05-19,281.6431,23.81203,21.299786,16.993124,0.6360687,22.885204,19.334183,50.997746,0.008122407,270.0405,177.37056,4.057143
2019-05-26,284.91995,23.030075,22.586037,18.223093,0.73569274,28.421432,21.005104,49.704624,0.0087653175,246.50044,177.81203,5.5477977
2019-06-02,285.72467,20.894737,23.691408,19.086573,0.67094517,25.609186,50.16531,52.76445,0.009774415,291.08765,178.44255,3.6600432
2019-06-09,287.4882,28.225563,22.316967,15.7307205,0.73239523,27.705612,13.5484705,52.3942,0.010249269,275.91202,165.86143,4.161654
2019-06-16,285.51257,34.06767,20.497746,14.439958,0.80513424,28.706125,17.086735,48.891087,0.008215897,280.1943,219.98712,4.735231
